"","X","Y","OBJECTID","PANTHERID","SEX","AGE","LOCATION","CAUSE","YEAR","Date","last_edited_date","CauseLong","Type","cause","id","region"
"1",-81.7744825702172,26.5117304220989,1127,"UCFP393","Female","3","Terminal Access Road to RSW, east bound lanes.  Panther pulled itself into woods on south side of road after collision.  Occurred 1km east of Treeline Avenue intersection.","Vehicular trauma",2021,"2021/01/02 05:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",1,2
"2",-81.4952118676792,26.3177632298394,1128,"UCFP392","Male","3","Oil Well Grade Rd.","Vehicular trauma",2020,"2020/12/28 05:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",2,3
"3",-81.6170393922516,26.1538526066235,1129,"UCFP391","Unknown","2","I-75, MM97","Vehicular trauma",2020,"2020/12/25 05:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",3,3
"4",-81.3240961136971,26.7684961673875,1130,"UCFP390","Male","2","SR80 6 mi east of Labelle, bridge of underpass","Vehicular trauma",2020,"2020/12/01 05:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",4,2
"5",-81.5901068849374,26.4507998094683,1131,"UCFP389","Male","9","Corkscrew Road, 500m E of TPI Road","Vehicular trauma",2020,"2020/11/18 05:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",5,2
"6",-81.3280573813678,26.4191723771759,1132,"UCFP388","Male","3.5","CR846, 5.6km west of County Line Road.  Carcass was located within 10 feet of the west end of the wildlife underpass fencing.","Vehicular trauma",2020,"2020/09/18 04:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",6,3
"7",-81.3034394417737,26.5837739042875,1133,"UCFP387","Female","3","CR832 (Keri Rd.), 350m west of the entrance to Wild Cow Grade on OK Slough State Forest","Vehicular trauma",2020,"2020/08/12 04:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",7,2
"8",-81.6236955473842,26.5338315243326,1134,"UCFP386","Female","4","SR82 and Homestead Rd, just south of Lehigh Acres. Major construction zone. Family group made several crossing/attempts since heavy rains last night. Large waist-high concrete barrier set up inches from the road that panthers were forced to leap over.","Vehicular trauma",2020,"2020/07/30 04:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",8,2
"9",-81.6870858121951,26.1183031823336,1135,"UCFP385","Female","1.17","Southbound lanes of CR951.  Hit approximately 140m north of the junction with The Lords Way.","Vehicular trauma",2020,"2020/05/30 04:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",9,3
"10",-81.2712181499366,26.7682911738526,1136,"UCFP384","Male","7","17km east of Labelle on SR80.  South of Long Hammock near bridge over canal that feeds into Caloosahatchee River near Ortona Locks.  Location was 2.5km south of the River.","Vehicular trauma",2020,"2020/05/11 04:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",10,2
"11",-81.654347442894,26.2129107481749,1137,"UCFP383","Male","2","East end of White Boulevard, first driveway east of the canal on north side of road.  Located just at the location where White Blvd curves south and turns into 23rd St SW.  Found 14m off the road in brush just east of driveway.","Vehicular trauma",2020,"2020/05/03 04:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",11,3
"12",-81.3258412609181,26.4191954992467,1138,"FP259","Male","2.5-3","CR846. 5 miles east of SR29","Vehicular trauma",2020,"2020/05/01 04:00:00+00","2021/03/03 20:57:38+00","Vehicular trauma","Mortality","Vehicle",12,3
